Protein families,count
Other,48867
Peptidase family,2591
G-protein coupled receptor 1 family,2357
Protein kinase superfamily,2222
Cytochrome b family,1606
Globin family,1050
Conotoxin family,1007
Neurotoxin family,971
Krueppel C2H2-type zinc-finger protein family,948
Frog skin active peptide (FSAP) family,766
Small GTPase superfamily,744
Phospholipase family,534
Cytochrome P450 family,512
Three-finger toxin family,489
Nuclear hormone receptor family,469
Class I-like SAM-binding methyltransferase superfamily,377
Major facilitator superfamily,351
Long (4 C-C) scorpion toxin superfamily,346
Short-chain dehydrogenases/reductases (SDR) family,344
Immunoglobulin superfamily,341
Intermediate filament family,340
Protein-tyrosine phosphatase family,337
TRAFAC class myosin-kinesin ATPase superfamily,326
Calycin superfamily,307
Complex I subunit 4L family,305
FARP family,301
BZIP family,282
Actin family,282
DEAD box helicase family,275
Short scorpion toxin superfamily,272
Ubiquitin-conjugating enzyme family,271
Mitochondrial carrier (TC 2.A.29) family,267
AB hydrolase superfamily,260
Periviscerokinin family,257
Insulin family,257
Venom Kunitz-type family,250
Beta-defensin family,247
Ligand-gated ion channel (TC 1.A.9) family,245
Cytochrome c oxidase subunit 2 family,244
Serpin family,226
TGF-beta family,225
ABC transporter superfamily,219
AAA ATPase family,216
Somatotropin/prolactin family,215
G-protein coupled receptor T2R family,214
Pancreatic ribonuclease family,214
Class V-like SAM-binding methyltransferase superfamily,211
G-protein coupled receptor 2 family,205
Methyltransferase superfamily,203
Paired homeobox family,198
Antp homeobox family,197
Venom metalloproteinase (M12B) family,192
TRIM/RBCC family,191
Potassium channel family,187
Cyclin family,186
GST superfamily,185
Pyrokinin family,179
Gastrin/cholecystokinin family,173
Non-disulfide-bridged peptide (NDBP) superfamily,171
"Natriuretic, Bradykinin potentiating peptide family",168
Metallothionein superfamily,164
TRAFAC class translation factor GTPase superfamily,162
Tubulin family,162
Cation transport ATPase (P-type) (TC 3.A.3) family,159
Apolipoprotein A1/A4/E family,159
Glycosyl hydrolase 22 family,157
Protamine P1 family,156
Scoloptoxin family,155
TRAFAC class dynamin-like GTPase superfamily,151
Complex I subunit 2 family,149
Tetraspanin (TM4SF) family,145
G-alpha family,145
Snaclec family,143
Heat shock protein 70 family,141
Metallo-dependent hydrolases superfamily,138
Insect chemoreceptor superfamily,137
Complex I subunit 1 family,136
CRISP family,131
Wnt family,129
Complex I subunit 3 family,126
Type I cytokine receptor family,124
ATPase protein 8 family,124
Adenylyl cyclase class-4/guanylyl cyclase family,122
Small heat shock protein (HSP20) family,121
Helicase family,119
SNF2/RAD54 helicase family,119
Histone H2A family,116
TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily,116
Cytochrome c oxidase subunit 3 family,114
Sulfotransferase 1 family,113
LDH/MDH superfamily,113
Type-B carboxylesterase/lipase family,112
DHHC palmitoyltransferase family,112
Zinc-containing alcohol dehydrogenase family,111
Cystatin family,110
Connexin family,110
Ubiquitin family,109
Complex I subunit 6 family,109
NPY family,108
Tumor necrosis factor family,107
Glutamate-gated ion channel (TC 1.A.10.1) family,107
Glycoprotein hormones subunit beta family,107
Glycosyltransferase 2 family,106
Glucagon family,105
Intercrine beta (chemokine CC) family,104
Class-II aminoacyl-tRNA synthetase family,104
ATP-dependent AMP-binding enzyme family,104
AKH/HRTH/RPCH family,104
Sorting nexin family,104
Splicing factor SR family,103
Abd-B homeobox family,103
Cyclophilin-type PPIase family,102
Class-I aminoacyl-tRNA synthetase family,101
ETS family,101
Beta/gamma-crystallin family,101
Major facilitator (TC 2.A.1) superfamily,100
Nudix hydrolase family,99
Aldehyde dehydrogenase family,99
Heparin-binding growth factors family,99
Heme-copper respiratory oxidase family,97
G-protein coupled receptor 3 family,96
PPP phosphatase family,96
Glycosyltransferase 31 family,96
Histone H2B family,96
Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family,95
S-100 family,95
POU transcription factor family,95
Cationic peptide family,93
Cyclic nucleotide phosphodiesterase family,93
PI3/PI4-kinase family,92
PBP/GOBP family,92
Histone H1/H5 family,92
MCD family,92
Acetyltransferase family,91
HAD-like hydrolase superfamily,91
ATPase A chain family,90
Tropomyosin family,89
Transient receptor (TC 1.A.4) family,86
Amino acid/polyamine transporter 2 family,86
Complex I subunit 4 family,85
MHC class I family,84
Type-I (or alpha/beta) interferon family,83
Glycosyltransferase 29 family,83
Adenylate kinase family,83
NGF-beta family,83
Cytochrome c family,83
Sea anemone sodium channel inhibitory toxin family,81
Intercrine alpha (chemokine CxC) family,81
MIP/aquaporin (TC 1.A.8) family,81
Caveolin family,80
Alpha-carbonic anhydrase family,80
Alpha-defensin family,80
Claudin family,79
Histone H3 family,79
IL-1 family,79
Small leucine-rich proteoglycan (SLRP) family,79
Annexin family,79
Complex I subunit 5 family,79
ZIP transporter (TC 2.A.5) family,79
Parvalbumin family,79
PP2C family,78
UDP-glycosyltransferase family,77
Recoverin family,77
Amiloride-sensitive sodium channel (TC 1.A.6) family,76
Tachykinin family,76
Bradykinin-related peptide family,75
TCP-1 chaperonin family,75
SRY family,75
IL-6 superfamily,74
Beta-2-microglobulin family,74
Complex I LYR family,74
SNF7 family,74
Cecropin family,72
Syntaxin family,72
Aldo/keto reductase family,72
Toll-like receptor family,71
PMP-22/EMP/MP20 family,70
Fatty acid desaturase type 1 family,70
MAGUK family,70
PDGF/VEGF growth factor family,69
Ubiquitin-activating E1 family,69
Cytidine and deoxycytidylate deaminase family,68
Calmodulin family,68
Cu-Zn superoxide dismutase family,67
Inward rectifier-type potassium channel (TC 1.A.2.1) family,67
14-3-3 family,67
ATP:guanido phosphotransferase family,66
Synaptotagmin family,66
Glutathione peroxidase family,66
Sea anemone potassium channel toxin family,65
Semaphorin family,65
Glycosyl hydrolase 13 family,65
Synaptobrevin family,65
MCM family,64
Arrestin family,64
Tyrosinase family,64
Phosphoglycerate mutase family,64
Vasopressin/oxytocin family,64
Metallo-beta-lactamase superfamily,64
Invertebrate defensin family,63
Cathelicidin family,63
Apolipoprotein C1 family,63
GnRH family,63
Formicidae venom family,63
Bcl-2 family,63
Prion family,63
Nucleotide-sugar transporter family,62
EMP24/GP25L family,62
Glycosyl hydrolase 18 family,61
Flavin monoamine oxidase family,60
Bombinin family,60
Histone deacetylase family,59
Histone H4 family,59
Class-I pyridoxal-phosphate-dependent aminotransferase family,59
Acyl-CoA dehydrogenase family,58
SnRNP Sm proteins family,58
Mab-21 family,58
Integrin alpha chain family,58
Glycoprotein hormones subunit alpha family,57
Actin-binding proteins ADF family,57
Sodium:solute symporter (SSF) (TC 2.A.21) family,56
Sulfatase family,56
Protein disulfide isomerase family,56
G-protein coupled receptor Fz/Smo family,56
Arthropod CHH/MIH/GIH/VIH hormone family,56
Mrp/NBP35 ATP-binding proteins family,56
Ferritin family,56
Enoyl-CoA hydratase/isomerase family,56
Sp1 C2H2-type zinc-finger protein family,55
Band 7/mec-2 family,55
Ammonium transporter (TC 2.A.49) family,55
Ankyrin SOCS box (ASB) family,55
Universal ribosomal protein uS2 family,54
Amino acid-polyamine-organocation (APC) superfamily,54
Neurexin family,54
Prickle / espinas / testin family,54
