Protein families,count
Conotoxin family,996
Neurotoxin family,962
Other,741
Three-finger toxin family,485
Long (4 C-C) scorpion toxin superfamily,341
Phospholipase family,327
Short scorpion toxin superfamily,266
Venom metalloproteinase (M12B) family,188
Peptidase family,156
Scoloptoxin family,155
Snaclec family,142
Venom Kunitz-type family,102
"Natriuretic, Bradykinin potentiating peptide family",100
Cationic peptide family,88
Sea anemone sodium channel inhibitory toxin family,80
MCD family,76
Bradykinin-related peptide family,72
Sea anemone potassium channel toxin family,63
CRISP family,52
Long (3 C-C) scorpion toxin superfamily,47
Formicidae venom family,42
Long chain scorpion toxin family,41
Disintegrin family,34
Actinoporin family,34
NGF-beta family,34
Non-disulfide-bridged peptide (NDBP) superfamily,33
Ergtoxin family,29
Insulin family,26
Flavin monoamine oxidase family,25
Venom protein 11 family,23
AVIT (prokineticin) family,21
PDGF/VEGF growth factor family,18
PBP/GOBP family,16
FARP family,14
Calycin superfamily,13
Frog skin active peptide (FSAP) family,12
True venom lectin family,10
Vasopressin/oxytocin family,10
Serpin family,7
Glucagon family,7
Invertebrate defensin family,6
Endothelin/sarafotoxin family,5
Nucleotide pyrophosphatase/phosphodiesterase family,5
NPY family,4
Multicopper oxidase family,4
Beta-defensin family,3
Bombinin family,3
AB hydrolase superfamily,2
Transferrin family,1
Gastrin/cholecystokinin family,1
ATP:guanido phosphotransferase family,1
Glycoprotein hormones subunit beta family,1
Glycoprotein hormones subunit alpha family,1
Type-B carboxylesterase/lipase family,1
Cystatin family,1
