identifier	split	actual_label	predicted_label	confidence
P0DPU1	val	CRISP family	nontox	0.9703614711761475
P82466	val	Venom metalloproteinase (M12B) family	Disintegrin family	0.9937174320220947
P0DQF9	val	Scoloptoxin family	nontox	0.9350276589393616
P34387	val	nontox	other	0.9456738233566284
B5KL31	val	nontox	Venom Kunitz-type family	0.9715444445610046
B5KL37	val	nontox	Venom Kunitz-type family	0.9285709857940674
B5L5M7	val	nontox	Venom Kunitz-type family	0.9948405623435974
P18104	val	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9916375279426575
P31398	val	nontox	other	0.8938126564025879
Q0MWV8	val	nontox	Sea anemone type 1 potassium channel toxin family	0.987672746181488
P84875	val	nontox	Venom Kunitz-type family	0.9274412989616394
P28504	val	nontox	other	0.9677974581718445
P28512	val	nontox	other	0.9293643236160278
P09944	val	nontox	other	0.9851663708686829
P0C1M6	val	nontox	MCD family	0.9508642554283142
P0C1Q8	val	nontox	MCD family	0.9999760389328003
Q6IWZ0	val	nontox	Flavin monoamine oxidase family	0.9425598382949829
D2XUU7	val	nontox	Cationic peptide family	0.935768187046051
W5XCJ6	val	nontox	Snaclec family	0.9990160465240479
C0HJC1	val	nontox	Phospholipase family	0.9945474863052368
C1JAR9	val	nontox	Phospholipase family	0.9262444376945496
P0DQR0	val	nontox	Venom Kunitz-type family	0.998150110244751
P0DV62	val	nontox	Neurotoxin family	0.9993120431900024
P0DV70	val	nontox	Cationic peptide family	0.9999533891677856
P0DW72	val	nontox	Conotoxin family	0.9996587038040161
P0DX34	val	nontox	MCD family	0.9972354769706726
O77463	val	nontox	Long (4 C-C) scorpion toxin superfamily	0.9999986886978149
Q58T40	val	nontox	other	0.8653296828269958
P19859	val	nontox	Venom Kunitz-type family	0.9923850297927856
P20146	val	nontox	Phospholipase family	0.9883866906166077
P20257	val	nontox	Phospholipase family	0.9908428192138672
P25033	val	nontox	other	0.9815458655357361
P86170	val	nontox	other	0.8848484754562378
Q63429	val	nontox	other	0.899052083492279
Q7YTY6	val	nontox	other	0.9170989990234375
Q8T0Z3	val	nontox	other	0.8447420597076416
A0A088SG62	val	nontox	Formicidae venom family	0.9987490177154541
A0A6G9KJM3	val	nontox	other	0.9951602816581726
B4ESA2	val	nontox	Venom Kunitz-type family	0.994276225566864
C0HJH6	val	nontox	other	0.9418364763259888
C0HK45	val	nontox	other	0.986581563949585
E0XKJ8	val	nontox	CRISP family	0.995324969291687
F6K6F3	val	nontox	Long (4 C-C) scorpion toxin superfamily	0.9999754428863525
P53357	val	nontox	other	0.8148767948150635
P81902	val	nontox	Venom Kunitz-type family	0.9506469964981079
P82417	val	nontox	other	0.9646002054214478
P84946	val	nontox	Bradykinin-related peptide family	0.991929292678833
P84955	val	nontox	Bradykinin-related peptide family	0.9112344980239868
Q6T6T5	val	nontox	Venom Kunitz-type family	0.9839433431625366
Q8MUP7	val	nontox	other	0.9535169005393982
G5EGC4	val	nontox	Long (3 C-C) scorpion toxin superfamily	0.8731180429458618
L0GB04	val	nontox	other	0.963329553604126
Q8T9T4	val	nontox	PBP/GOBP family	0.9674330353736877
Q910A0	val	nontox	Phospholipase family	0.9946205615997314
W4VSH9	val	nontox	Venom Kunitz-type family	0.9191253781318665
A7X3V7	val	nontox	Venom Kunitz-type family	0.8652772903442383
B2D2C0	val	nontox	other	0.9381676316261292
P04567	val	nontox	Limacoditoxin family	0.9328259229660034
P0DMA4	val	nontox	Conotoxin family	0.9999459981918335
P0DPL1	val	nontox	Conotoxin family	0.9985112547874451
P0DRI1	val	nontox	Insulin family	0.9831637740135193
P81162	val	nontox	Venom Kunitz-type family	0.8275209665298462
P84016	val	nontox	Neurotoxin family	0.8583465814590454
P84947	val	nontox	Bradykinin-related peptide family	0.8092057704925537
P86821	val	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9922310709953308
