identifier	split	actual_label	predicted_label	confidence
A0A059U8Y9	val	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.8908445835113525
A0A090BX51	val	nontox	other	0.9949126243591309
A0A1S4GYH9	val	nontox	PBP/GOBP family	0.9363812804222107
B0M2U6	val	nontox	FARP (FMRFamide related peptide) family	0.9807682633399963
B5L5R7	val	nontox	Venom Kunitz-type family	0.9867454171180725
B6RLX2	val	nontox	Venom Kunitz-type family	0.9895473718643188
B8XH44	val	nontox	Short scorpion toxin superfamily	0.8939806222915649
C0HJV8	val	nontox	Cationic peptide family	0.999985933303833
C0HJY4	val	other	Conotoxin family	0.9921074509620667
C0HJY9	val	other	Neurotoxin family	0.9302696585655212
C0HKB9	val	nontox	Phospholipase family	0.9952724575996399
C0HKX5	val	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9841225147247314
C0HKX7	val	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9509581327438354
C3TS04	val	other	Conotoxin family	0.9652069807052612
C5J886	val	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.997141420841217
D5J9S0	val	Natriuretic, Bradykinin potentiating peptide family	nontox	0.990946888923645
E0XKJ8	val	nontox	CRISP family	0.9976565837860107
E5L0E5	val	nontox	Peptidase S1 family	0.9999276399612427
F8J2F3	val	nontox	Venom Kunitz-type family	0.9850314855575562
H2A0N1	val	nontox	Venom Kunitz-type family	0.8316484689712524
L0GCI6	val	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9957389831542969
P00601	val	nontox	Phospholipase family	0.9955576062202454
P08873	val	nontox	Phospholipase family	0.9928733110427856
P09464	val	nontox	Calycin superfamily	0.943868100643158
P0C8L2	val	nontox	Short scorpion toxin superfamily	0.9924848675727844
P0DMJ2	val	nontox	Venom Kunitz-type family	0.9921064376831055
P0DQQ8	val	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9952955842018127
P0DQY9	val	other	Conotoxin family	0.9916194677352905
P0DRK4	val	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9838468432426453
P0DRL4	val	nontox	Conotoxin family	0.999990701675415
P0DSJ1	val	nontox	other	0.984041690826416
P0DUS4	val	Limacoditoxin family	nontox	0.8752425312995911
P0DUS6	val	Limacoditoxin family	Cationic peptide family	0.9197461009025574
P0DV70	val	nontox	Cationic peptide family	0.9999890327453613
P0DX47	val	FARP (FMRFamide related peptide) family	Limacoditoxin family	0.9707823395729065
P13208	val	other	nontox	0.8607029318809509
P18144	val	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9986646175384521
P19863	val	nontox	Cationic peptide family	0.9789325594902039
P20250	val	nontox	Phospholipase family	0.9930697083473206
P20253	val	nontox	Phospholipase family	0.9952417612075806
P30652	val	nontox	Sea anemone type 1 potassium channel toxin family	0.953183114528656
P31398	val	nontox	other	0.8254128694534302
P39877	val	nontox	Phospholipase family	0.9484893679618835
P42993	val	nontox	Vasopressin/oxytocin family	0.944221019744873
P61298	val	nontox	Conotoxin family	0.8743605613708496
P61850	val	nontox	FARP (FMRFamide related peptide) family	0.9781489372253418
P62968	val	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9975939393043518
P81162	val	nontox	Venom Kunitz-type family	0.8391258120536804
P81478	val	nontox	Phospholipase family	0.9974859952926636
P82321	val	nontox	Short scorpion toxin superfamily	0.9541274309158325
P82422	val	nontox	other	0.9837505221366882
P82656	val	nontox	other	0.8505300879478455
P82971	val	nontox	Phospholipase family	0.9276804327964783
P83411	val	nontox	other	0.9340276718139648
P83416	val	nontox	Cationic peptide family	0.9916977882385254
P83718	val	nontox	Short scorpion toxin superfamily	0.9746320247650146
P84651	val	nontox	Phospholipase family	0.9976567029953003
P84950	val	nontox	Natriuretic, Bradykinin potentiating peptide family	0.910092294216156
P84953	val	nontox	Bradykinin-related peptide family	0.8105887770652771
P85818	val	nontox	Bradykinin-related peptide family	0.9955612421035767
P86820	val	Bradykinin-related peptide family	nontox	0.8640170693397522
P97391	val	nontox	Phospholipase family	0.8962789177894592
Q03383	val	nontox	other	0.8006803393363953
Q10996	val	nontox	Conotoxin family	0.9999144077301025
Q2ES49	val	nontox	Venom Kunitz-type family	0.9946120977401733
Q58L90	val	other	nontox	0.9895778894424438
Q68Y22	val	nontox	Formicidae venom family	0.9969485402107239
Q6Q252	val	nontox	other	0.840190052986145
Q6T6T5	val	nontox	Venom Kunitz-type family	0.9730004072189331
Q6TS00	val	nontox	PBP/GOBP family	0.9991990923881531
Q6X5T4	val	other	Snaclec family	0.9999945163726807
Q7M4I3	val	nontox	Peptidase S1 family	0.9177835583686829
Q86SC0	val	nontox	other	0.9359612464904785
Q8JGT9	val	nontox	CRISP family	0.9975826740264893
Q8LW54	val	other	Formicidae venom family	0.958801805973053
Q90W97	val	nontox	Venom Kunitz-type family	0.9907687306404114
Q9BMK4	val	nontox	Phospholipase family	0.9548384547233582
Q9I8F8	val	nontox	Phospholipase family	0.9965580105781555
Q9U6R6	val	nontox	Calycin superfamily	0.9993284940719604
Q9W4Q9	val	nontox	Insulin family	0.8456699848175049
R4JJN6	val	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.985468327999115
V5N6J4	val	other	Scoloptoxin family	0.9981480836868286
A0A059T2H4	test	other	Neurotoxin family	0.9908684492111206
A0A0K1YW63	test	other	nontox	0.9335880875587463
A0A182GL09	test	nontox	CRISP family	0.9274792075157166
A0A1D3IXJ5	test	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9995782971382141
A0A1S4FGH1	test	other	nontox	0.9996943473815918
A0A7S8MVN3	test	Long (4 C-C) scorpion toxin superfamily	Long (3 C-C) scorpion toxin superfamily	0.9989895224571228
A0A7S8RGC8	test	Long (4 C-C) scorpion toxin superfamily	Long (3 C-C) scorpion toxin superfamily	0.9342957735061646
A3FMN3	test	nontox	other	0.8907025456428528
