identifier,Protein families,Fragment,Scoloptoxin,protein_category
A0A0D4WV12,other,mature_seq (NO_SP),other,phospholipase_other
A0A0N7CSQ4,other,full_seq (SP),other,scoloptoxin
A0A1L4BJ98,other,full_seq (SP),other,phospholipase_other
A0A5C2A2T2,Phospholipase A2 family,mature_seq (NO_SP),other,phospholipase_a2
A0A6B7FMR5,Venom metalloproteinase (M12B) family,full_seq (SP),other,metalloproteinase
A0S864,Snake three-finger toxin family,full_seq (SP),3FTX,three_finger_toxin
A3R0T9,Venom metalloproteinase (M12B) family,mature_seq (NO_SP),other,metalloproteinase
A8YPR6,Natriuretic peptide family,full_seq (SP),other,
A8YPR9,Natriuretic peptide family,full_seq (SP),other,
B3EWF6,other,mature_seq (NO_SP),other,neurotoxin
B3EWH0,other,mature_seq (NO_SP),other,neurotoxin
C0HJD3,Snake three-finger toxin family,mature_seq (NO_SP),3FTX,three_finger_toxin
C0HJQ2,Short scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_ktx
C0HJY4,other,mature_seq (NO_SP),other,
C0HKG7,other,mature_seq (NO_SP),other,neurotoxin
C0HLG4,Short scorpion toxin superfamily,full_seq (SP),other,scorpion_ktx
C6EVG7,Natriuretic peptide family,full_seq (SP),other,
C7G3K3,other,full_seq (SP),other,scorpion_long_toxin
G9I930,Phospholipase A2 family,mature_seq (NO_SP),other,phospholipase_a2
P00982,Venom Kunitz-type family,mature_seq (NO_SP),other,venom_kunitz
P01501,other,mature_seq (NO_SP),other,
P04971,other,mature_seq (NO_SP),other,peptidase
P07231,other,mature_seq (NO_SP),other,conotoxin
P0C023,Formicidae venom precursor-01 superfamily,mature_seq (NO_SP),other,
P0C1V7,Conotoxin A superfamily,mature_seq (NO_SP),other,conotoxin
P0C6E3,Venom metalloproteinase (M12B) family,mature_seq (NO_SP),other,metalloproteinase
P0C6S4,Venom metalloproteinase (M12B) family,mature_seq (NO_SP),other,metalloproteinase
P0DJ41,Short scorpion toxin superfamily,full_seq (SP),other,scorpion_ktx
P0DKU2,Phospholipase A2 family,mature_seq (NO_SP),other,phospholipase_a2
P0DL39,Conotoxin A superfamily,mature_seq (NO_SP),other,conotoxin
P0DMB4,other,mature_seq (NO_SP),other,
P0DW98,other,mature_seq (NO_SP),other,vegf
P13208,other,full_seq (SP),other,
P17727,other,full_seq (SP),other,neurotoxin
P28375,Snake three-finger toxin family,mature_seq (NO_SP),3FTX,three_finger_toxin
P49126,other,full_seq (SP),other,neurotoxin
P49268,other,mature_seq (NO_SP),other,neurotoxin
P56676,Neurotoxin 10 (Hwtx-1) family,mature_seq (NO_SP),other,neurotoxin
P59888,Phospholipase A2 family,mature_seq (NO_SP),other,phospholipase_a2
P60214,Long (4 C-C) scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_long_toxin
P60244,Venom metalloproteinase (M12B) family,mature_seq (NO_SP),other,metalloproteinase
P60254,other,mature_seq (NO_SP),other,
P60513,Conotoxin O1 superfamily,mature_seq (NO_SP),other,conotoxin
P60590,Neurotoxin 10 (Hwtx-1) family,full_seq (SP),other,neurotoxin
P61898,other,mature_seq (NO_SP),other,ngf
P80719,Short scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_ktx
P81383,other,mature_seq (NO_SP),other,
P81694,other,mature_seq (NO_SP),other,neurotoxin
P82972,Natriuretic peptide family,mature_seq (NO_SP),other,
P83288,other,full_seq (SP),other,
P83561,other,full_seq (SP),other,neurotoxin
P83655,Short scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_ktx
P84715,Natriuretic peptide family,full_seq (SP),other,
P84777,Short scorpion toxin superfamily,full_seq (SP),other,scorpion_ktx
