identifier,taxon_of_interest,family,genus,species,Fragment,Scoloptoxin?
None|Xetr_1|Xenopus_tropicalis,Anura,Pipidae,Xenopus,Xenopus tropicalis,full_seq (SP),
None|Xetr_2|Xenopus_tropicalis,Anura,Pipidae,Xenopus,Xenopus tropicalis,full_seq (SP),
None|Xetr_3|Xenopus_tropicalis,Anura,Pipidae,Xenopus,Xenopus tropicalis,mature_seq (NO_SP),
None|Xetr_5|Xenopus_tropicalis,Anura,Pipidae,Xenopus,Xenopus tropicalis,full_seq (SP),
None|Xetr_6|Xenopus_tropicalis,Anura,Pipidae,Xenopus,Xenopus tropicalis,full_seq (SP),
None|Xetr_7|Xenopus_tropicalis,Anura,Pipidae,Xenopus,Xenopus tropicalis,full_seq (SP),
None|Xetr_8|Xenopus_tropicalis,Anura,Pipidae,Xenopus,Xenopus tropicalis,mature_seq (NO_SP),
None|Xetr_9|Xenopus_tropicalis,Anura,Pipidae,Xenopus,Xenopus tropicalis,mature_seq (NO_SP),
None|Xetr4|Xenopus_tropicalis,Anura,Pipidae,Xenopus,Xenopus tropicalis,full_seq (SP),
None|Hosa_13|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,full_seq (SP),
SP|O43653|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,full_seq (SP),
SP|O94772|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,full_seq (SP),
SP|P0DP57|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,full_seq (SP),
SP|P0DP58|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,full_seq (SP),
SP|P55000|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,full_seq (SP),
SP|Q14210|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,full_seq (SP),
SP|Q16553|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,full_seq (SP),
SP|Q17RY6-2|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,mature_seq (NO_SP),
SP|Q6UXB3|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,full_seq (SP),
SP|Q8IV16|Homo_sapiens,Placentalia,Hominidae,Homo,Homo sapiens,full_seq (SP),
None|Phci_11|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,mature_seq (NO_SP),
None|Phci_13|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Phci_14|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Phci_15|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Phci_16|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Phci_17|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,mature_seq (NO_SP),
None|Phci_2|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Phci_3|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Phci_4|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Phci_5|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Phci_6|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Phci_7|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Phci_8|Phascolarctos_cinereus,Marsupialia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,full_seq (SP),
None|Oran_1|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
None|Oran_2|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,mature_seq (NO_SP),
None|Oran_dn_10|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
None|Oran_dn4|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
None|Oran_dn5|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
None|Oran1|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
None|Oran2|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
None|Oran3|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
None|Oran6|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
