identifier,counterpart_group,toxic_family
P0DP57,Ly6_uPAR,Three-finger toxin family
Q9Z1Q3,Ly6_uPAR,Three-finger toxin family
P13987,Ly6_uPAR,Three-finger toxin family
Q8N2G4,Ly6_uPAR,Three-finger toxin family
Q8BLC3,Ly6_uPAR,Three-finger toxin family
O94772,Ly6_uPAR,Three-finger toxin family
P0DP62,Ly6_uPAR,Three-finger toxin family
Q28216,Ly6_uPAR,Three-finger toxin family
Q8SQ46,Ly6_uPAR,Three-finger toxin family
A0JNB3,Ly6_uPAR,Three-finger toxin family
Q1RMQ4,Ly6_uPAR,Three-finger toxin family
Q5IS87,Ly6_uPAR,Three-finger toxin family
Q5IS42,Ly6_uPAR,Three-finger toxin family
Q4R5M8,Ly6_uPAR,Three-finger toxin family
Q9QXX3,mammalian_PLA2,Phospholipase family
P51433,mammalian_PLA2,Phospholipase family
P00593,mammalian_PLA2,Phospholipase family
Q9BZM1,mammalian_PLA2,Phospholipase family
P00592,mammalian_PLA2,Phospholipase family
Q9BX93,mammalian_PLA2,Phospholipase family
Q9UKQ2,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
O14672,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
P78536,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
O35227,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
Q9Z0F8,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
Q9Z1K9,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
Q10743,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
O88839,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
O35598,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
O77633,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
Q28475,ADAM_metalloproteinases,Venom metalloproteinase (M12B) family
P07306,C_type_lectins,Snaclec family
Q9H2X3,C_type_lectins,Snaclec family
Q8K4Q8,C_type_lectins,Snaclec family
A6QP79,C_type_lectins,Snaclec family
