identifier,verdict,assessment,assessment_note,fp_category,actual_label,predicted_label
Q6J201,nontox,incorrect,"Jellyfish serpin (jellypin), a protease inhibitor with no venom or nematocyst evidence in UniProt; 'other' = toxin-of-unmodeled-family, so this is a false-positive toxin call. Lower confidence: Cyanea tentacle secretions are venomous, so recruitment cannot be fully excluded.",endogenous_protease_inhibitor,nontox,other
B8XH44,tox,correct,"Scorpion venom-gland potassium channel toxin alpha-KTx 27.1; short scorpion toxin superfamily is exactly right. The nontox ground truth is a keyword gap, not a model error.",,nontox,Short scorpion toxin superfamily
Q9W4Q9,nontox,incorrect,"Fly endogenous insulin-like peptide 7 (InR ligand); the insulin family is venom-recruited in cone snails, but this is the physiological hormone -> false-positive toxin call.",endogenous_hormone,nontox,Insulin family
A7X3V7,tox,correct,Green-racer venom-gland Kunitz-type inhibitor (kunitoxin-Phi1); genuine venom Kunitz family member.,,nontox,Venom Kunitz-type family
P0DPW0,tox,partial,"Centipede venom-gland scutigerotoxin; true family (scutigerotoxin-02) is unmodeled so the label is 'other', and the model's Scoloptoxin call is the adjacent centipede-venom family. Venom-correct, family approximate.",,other,Scoloptoxin family
L0GB04,tox,correct,"Scorpion venom-gland La1-like peptide; the La1-like family is unmodeled, so 'other' is the correct tox call.",,nontox,other
P25033,nontox,incorrect,Moth hemolymph immune Ig protein — clear non-toxin; 'other' = toxin-unmodeled-family -> false-positive toxin call.,endogenous_immune_other,nontox,other
Q94424,tox,partial,"Cat-flea salivary antigen 1 / allergen (blood-feeding secretion); the long (4 C-C) scorpion NaTx call is spurious. Secretion-context correct, family wrong (lower confidence on the tox call: no host-disabling activity is documented).",,nontox,Long (4 C-C) scorpion toxin superfamily
C0HJY9,tox,partial,"Ant venom-gland poneratoxin (poneritoxin-Ae1 family, unmodeled so label is 'other'); poneratoxin genuinely is a neurotoxin, so the call is venom-correct but the family is approximate.",,other,Neurotoxin family
P0DSJ1,tox,correct,"Ant venom-gland ponericin (ponericin-G family); family unmodeled, so 'other' is the correct tox call.",,nontox,other
P0CH87,tox,correct,"Hornet venom-gland phospholipase A1 (allergen, hemolytic); the lipase/AB-hydrolase venom PLA1 family is unmodeled, so 'other' is the correct tox call.",,nontox,other
