identifier,Split
A0A023FBW4,val
A0A023FBW7,train
A0A023FF81,val
A0A023FFB5,train
A0A023FFD0,train
A0A023FT45,test
A0A023G6B6,train
A0A023VZM6,train
A0A023VZR2,val
A0A023W090,train
A0A023W0B6,test
A0A023W0C3,train
A0A023W0V6,train
A0A023W0W9,train
A0A023W145,train
A0A023W168,train
A0A024R1R8,val
A0A026W182,train
A0A044RE18,train
A0A059T2H4,test
A0A059U8Y9,val
A0A059U906,val
A0A059UEE4,train
A0A059UI21,train
A0A059UI30,test
A0A060XQP6,train
A0A061AE05,val
A0A061I403,train
A0A061IR73,train
A0A075B6H8,val
A0A075B6H9,train
A0A075B6I0,train
A0A075B6I1,train
A0A075B6I3,train
A0A075B6I4,train
A0A075B6I6,train
A0A075B6I7,test
A0A075B6I9,val
A0A075B6J1,train
A0A075B6J2,train
A0A075B6J6,train
A0A075B6J9,train
A0A075B6K2,train
A0A075B6K4,train
A0A075B6K5,train
A0A075B6K6,val
A0A075B6L2,train
A0A075B6L6,train
A0A075B6N1,train
A0A075B6N2,train
A0A075B6N3,train
A0A075B6N4,train
A0A075B6P5,train
A0A075B6S0,train
A0A075B6S2,train
A0A075B6S4,test
A0A075B6S5,train
A0A075B6S6,train
A0A075B6T6,val
A0A075B6T7,train
A0A075B6T8,train
A0A075B6U4,train
A0A075B6V5,train
A0A075B6W5,test
A0A075B6X5,test
A0A075B6Y3,train
A0A075B6Y9,train
A0A075B700,val
A0A075B706,train
A0A075B734,train
A0A075F932,train
A0A078BQP2,train
A0A087WRI3,train
A0A087WRU1,val
A0A087WSX0,train
A0A087WSY6,train
A0A087WSZ9,train
A0A087WT01,test
A0A087WT02,val
A0A087WT03,train
A0A087WTH1,train
A0A087WUV0,val
A0A087WV53,train
A0A087WV62,train
A0A087WW87,train
A0A087WWA1,test
A0A087WWS6,train
A0A087WXM9,train
A0A087X0K7,val
A0A087X0M5,train
A0A088BP94,train
A0A088MI62,train
A0A088MIT0,test
A0A088SG62,train
A0A090BX51,val
A0A090XA85,train
A0A090XBH9,train
A0A096LNP1,train
A0A096LP01,train
A0A096LP49,train
A0A096LPI5,test
A0A096LPK9,train
A0A096MJZ0,train
A0A096MK47,train
A0A096P2H6,test
A0A096X8J7,train
A0A096XJN4,train
A0A0A0MRZ7,train
A0A0A0MRZ9,train
A0A0A0MS00,train
A0A0A0MS01,train
A0A0A0MS02,train
A0A0A0MS03,test
A0A0A0MS04,train
A0A0A0MS06,train
A0A0A0MS14,test
A0A0A0MS15,train
A0A0A0MT70,train
A0A0A0MT76,train
A0A0A0MT78,test
A0A0A0MT87,train
A0A0A0MT89,test
A0A0A0MT94,train
A0A0A0MTA4,train
A0A0A0MTA7,train
A0A0A0VBX4,train
A0A0A1I6E7,val
A0A0A6YXX9,train
A0A0A6YY25,train
A0A0A6YYC5,val
A0A0A6YYD4,train
A0A0A6YYG2,test
A0A0A6YYG3,val
A0A0A6YYJ7,train
A0A0A6YYK1,test
A0A0A6YYK4,test
A0A0A6YYK6,val
A0A0A6YYK7,train
A0A0A7DNP6,test
A0A0B4J1F4,test
A0A0B4J1G0,train
A0A0B4J1L0,train
A0A0B4J1N3,train
A0A0B4J1U3,train
A0A0B4J1U4,train
A0A0B4J1U6,val
A0A0B4J1U7,val
A0A0B4J1V0,train
A0A0B4J1V1,train
A0A0B4J1V2,train
A0A0B4J1V6,train
A0A0B4J1V7,test
A0A0B4J1X5,train
A0A0B4J1Y8,train
A0A0B4J1Y9,train
A0A0B4J1Z2,val
A0A0B4J200,train
A0A0B4J234,train
A0A0B4J235,train
A0A0B4J238,val
A0A0B4J240,train
A0A0B4J241,val
A0A0B4J244,train
A0A0B4J245,train
A0A0B4J248,val
A0A0B4J249,train
A0A0B4J262,test
A0A0B4J263,train
A0A0B4J265,val
A0A0B4J266,val
A0A0B4J268,train
A0A0B4J271,train
A0A0B4J272,test
A0A0B4J273,train
A0A0B4J274,train
A0A0B4J275,val
A0A0B4J276,train
A0A0B4J277,test
A0A0B4J279,train
A0A0B4J280,train
A0A0B4J2E0,train
A0A0B4J2F0,train
A0A0B4J2H0,train
A0A0B4K692,test
A0A0B4K753,val
A0A0B4K7K9,train
